product_name,product_URL,date_scrape,subcategory
Lavaplatos Axión Crema Limón 150gr Nueva Presentación,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/6aff4480-f66b-ea11-a94c-0004ffd34543,2025-03-11,Cocina
Lavaplatos Disco Axion x130gr R Limón Nueva Formula,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/199d5f4c-a472-ea11-a94c-0004ffd34543,2025-03-11,Cocina
Lavaplatos Axion Crema x2Un x450gr PEAloeN/A,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/b3b21b50-4b37-eb11-9fb4-000d3a9112b0,2025-03-11,Cocina
Lavaplatos Axión Líquido Limón 750ml,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/f081e65b-f66b-ea11-a94c-0004ffd34543,2025-03-11,Cocina
Lavaplatos Axión Crema Limón 850gr,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/ad968f01-f06b-ea11-a94c-0004ffd34543,2025-03-11,Cocina
Lavaloza Liquido Dersa + Jabón Rey DoyPack x200ml,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/15217f58-c16c-4d7e-b550-e2743b50802c,2025-03-11,Cocina
Lavaloza Dersa + Jabón Rey x225gr,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/45967035-f83e-4c15-857a-287a2e063593,2025-03-11,Cocina
Lavaloza Liquido Dersa + Jabón Rey DoyPack x400ml,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/1cbdacd0-6a17-4ad0-a51d-4e754a3035d2,2025-03-11,Cocina
Lavaloza Dersa + Jabón Rey x450gr,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/5d34774a-64d3-4e02-b05a-cf7e761a0dfc,2025-03-11,Cocina
Lavaplatos Líquido Limón Frotex  x4lts,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/c18056ca-78eb-ed11-9f73-00224845a67b,2025-03-11,Cocina
Limpiahornos Frotex x150gr,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/9ab3572e-9ea0-ea11-86e9-0004ffd34492,2025-03-11,Cocina
Limpia Hornos Frotex x280gr,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/b8b3572e-9ea0-ea11-86e9-0004ffd34492,2025-03-11,Cocina
Lavaplatos Frotex Crema Limón x450gr,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/f5e87212-dcca-ec11-997e-a04a5e928420,2025-03-11,Cocina
Lavaplatos Frotex Liquido Botella  x750ml,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/89d5c91f-6463-eb11-9889-000d3a914d30,2025-03-11,Cocina
Lavaplatos Frotex Crema  x1000gr,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/fae95b34-9ea0-ea11-86e9-0004ffd34492,2025-03-11,Cocina
Lavaplatos Crema Platox Frotex Biodegradable x235gr,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/c48f6e45-ba90-ec11-a507-28187831d14a,2025-03-11,Cocina
Lavaloza Liquido Platox Frotex Limón x200ml + 50ml Extracontenido,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/e94ae9a2-8f96-ec11-a22a-14cb654ca202,2025-03-11,Cocina
Lavaplatos Platox Líquido Frotex Doypack x500ml,https://www.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/f487fa55-bfa3-ed11-a8de-6045bd33e08b,2025-03-11,Cocina
Desodorizante Adhesivo Pato Caja x3adhesivos x10gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/fe1c5846-fe9a-ea11-86e9-0004ffd34492,2025-03-11,Baño
Desodorizante Adhesivo Pato Caja x3adhesivos x10gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/f9060a86-4e4a-eb11-a607-000d3a910ca3,2025-03-11,Baño
Limpiador Sanpic Vainilla x450ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/2eed6052-28f9-eb11-b563-501ac5124066,2025-03-11,Ropa
Limpiador Fabuloso Alternativa Al Cloro Ultra Desinfecante x1000ml R,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/daa60196-6052-eb11-a607-000d3a910ca3,2025-03-11,Pisos y Muebles
"3Un Crema Lubriderm Gts 1Un Crema Lubriderm (Reparación Intensiva x120ml)
",https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/b0485bb0-c012-4e07-b332-2d9b17edb198,2025-03-11,Cuidado Corporal
3Un Crema Lubriderm Gts Crema Lubriderm (Humectación Diaria x120ml),https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/b29a99c6-c672-42ee-afae-af659013a3b7,2025-03-11,Cuidado Corporal
Gel Ego For Men Attraction Sachet x15Un x25ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/8d745d5c-6430-ed11-b494-002248454599,2025-03-11,Cuidado Corporal
Crema Lubriderm Humectación Diaria Sachet x6Un x25ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/0c02978a-1872-4f47-8914-cf8fbc57e007,2025-03-11,Cuidado Corporal
Crema Lubriderm Prevención Sachet x6Un x25ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/48275b4b-bab9-ec11-997e-a085fcc3b723,2025-03-11,Cuidado Corporal
Crema Lubriderm Humectación Diaria x120ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/6643da3f-0af4-45db-835c-7b7ccd9b476f,2025-03-11,Cuidado Corporal
Crema Lubriderm UV15 x120ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/6538897c-9ede-eb11-a7ad-000d3a9181e7,2025-03-11,Cuidado Corporal
