subcategory,price
Servilletas y Toallas de Cocina,32765.3884221193
Hogar,20811.974586317407
Cuidado Corporal,9618.583595375907
Cocina,8260.846371907568
Insecticidas,8226.317062092345
Ropa,4929.495862729229
Pisos y Muebles,3442.401468691764
Baño,2440.630435565941
Implementos para limpieza,0.0
